"FID","tile","lat","lon"
361,"01JEN",-24.907920578,-176.456566131
362,"01JFF",-31.2171743734,-175.373856088
363,"01JFG",-30.3155569328,-175.388950177
364,"01JFH",-29.413267043,-175.40338519
365,"01JFJ",-28.5108484549,-175.417176626
366,"01JFK",-27.6088453328,-175.430339944
367,"01JFL",-26.7061776496,-175.44291265
368,"01JFM",-25.8033897009,-175.454906998
369,"01JFN",-24.9010261719,-175.466335346
370,"01JGF",-31.1996382437,-174.325253336
371,"01JGG",-30.2986343494,-174.350058269
372,"01JGH",-29.3969474883,-174.373780699
373,"01JGJ",-28.4951216245,-174.396446003
374,"01JGK",-27.5937011246,-174.41807952
375,"01JGL",-26.6916071863,-174.438742817
376,"01JGM",-25.7893842484,-174.458455971
377,"01JGN",-24.8875771381,-174.477239237
378,"01JHM",-25.7685557942,-173.462325082
379,"01JHN",-24.8675759469,-173.488438439
380,"01KAA",-17.6531695901,179.615366546
381,"01KAA",-17.6548063472,-179.867841294
382,"01KAB",-16.7510128486,179.624480605
383,"01KAB",-16.7527527633,-179.861222493
384,"01KAP",-23.9684717373,179.535084455
385,"01KAP",-23.9655050034,-179.9260997
386,"01KAQ",-23.066421221,179.548430412
387,"01KAQ",-23.0649522791,-179.916424587
388,"01KAR",-22.1648101871,179.561114452
389,"01KAR",-22.1643847341,-179.907224103
390,"01KAS",-21.2625591679,179.57317056
391,"01KAS",-21.2628729899,-179.898475742
392,"01KAT",-20.3602123088,179.584608492
393,"01KAT",-20.3610517746,-179.890173714
394,"01KAU",-19.4583140854,179.59543835
395,"01KAU",-19.459524474,-179.882311513
396,"01KAV",-18.5557849751,179.605688483
397,"01KAV",-18.5572519078,-179.874869102
398,"01KBA",-17.666897626,-179.310590322
399,"01KBB",-16.7640716819,-179.299397966
400,"01KBP",-23.9866399114,-179.409194668
401,"01KBQ",-23.0839869258,-179.392800977
402,"01KBR",-22.1817617665,-179.377221042
403,"01KBS",-21.2788850727,-179.362413029
404,"01KBT",-20.3759021878,-179.348364862
405,"01KBU",-19.4733587828,-179.335064047
406,"01KBV",-18.5701753437,-179.322475693
407,"01KCA",-17.6757058514,-178.368029833
408,"01KCB",-16.7724032558,-178.361398545
409,"01KCP",-23.9989333128,-178.426454259
410,"01KCQ",-23.095764226,-178.416740397
411,"01KCR",-22.1930299111,-178.407508857
412,"01KCS",-21.289650025,-178.398734825
413,"01KCT",-20.3861698601,-178.39041113
414,"01KCU",-19.4831350376,-178.38253035
415,"01KCV",-18.5794651228,-178.375071794
416,"01KDA",-17.6800001682,-177.42562843
417,"01KDB",-16.7764651724,-177.423564567
418,"01KDP",-24.0049269759,-177.443812383
419,"01KDQ",-23.1015062291,-177.440788996
420,"01KDR",-22.1985236473,-177.437915747
421,"01KDS",-21.2948984055,-177.435184915
422,"01KDT",-20.3911757707,-177.432594264
423,"01KDU",-19.487901341,-177.430141479
424,"01KDV",-18.5839942309,-177.427820118
425,"01KEA",-17.6797801301,-176.482534881
426,"01KEB",-16.7762570432,-176.485044016
427,"01KEP",-24.0046198619,-176.460427839
428,"01KEQ",-23.1012120105,-176.464103504
429,"01KER",-22.1982421497,-176.467596637
430,"01KES",-21.2946294813,-176.470916629
431,"01KET",-20.3909192706,-176.474066201
432,"01KEU",-19.4876571175,-176.477048163
433,"01KEV",-18.5837621627,-176.479870345
434,"01KFA",-17.6750420933,-175.539595212
435,"01KFB",-16.7717754184,-175.546673898
436,"01KFP",-23.998006905,-175.477229254
437,"01KFQ",-23.094876713,-175.48759842
438,"01KFR",-22.1921807694,-175.497452738
439,"01KFS",-21.2888388069,-175.506818692
440,"01KFT",-20.3853961166,-175.515703937
441,"01KFU",-19.4823983291,-175.524116395
442,"01KFV",-18.5787650752,-175.532078151
443,"01KGA",-17.6657991356,-174.597654823
444,"01KGB",-16.763032633,-174.609290619
445,"01KGP",-23.9851068155,-174.495144434
446,"01KGQ",-23.0825181872,-174.512187453
447,"01KGR",-22.1803565173,-174.528384511
448,"01KGS",-21.2775425719,-174.543779103
449,"01KGT",-20.3746216989,-174.558383771
450,"01KGU",-19.4721395755,-174.572211504
451,"01KGV",-18.5690168011,-174.585298571
452,"01KHA",-17.6520521986,-173.655862272
453,"01KHB",-16.7500295119,-173.672041979
454,"01KHP",-23.965921804,-173.513331724
455,"01KHQ",-23.0641384044,-173.537026929
456,"01KHR",-22.1627711498,-173.559546512
457,"01KHS",-21.2607423386,-173.580950862
458,"01KHT",-20.3585973971,-173.601257347
459,"01KHU",-19.4568820787,-173.620483952
460,"01KHV",-18.5545184167,-173.638681049
461,"01LAC",-15.8482352052,179.633054045
462,"01LAC",-15.8500265513,-179.854995901
463,"01LAD",-14.9453817193,179.641092808
464,"01LAD",-14.9471838474,-179.849157338
465,"01LAE",-14.0429977281,179.64860328
466,"01LAE",-14.0447785476,-179.843702263
467,"01LAF",-13.1400036997,179.655604415
468,"01LAF",-13.1417377248,-179.83861698
469,"01LAG",-12.2369451162,179.662100726
470,"01LAG",-12.2386120744,-179.833898266
471,"01LAH",-11.334367706,179.668097203
472,"01LAH",-11.3359515155,-179.829542537
473,"01LAJ",-10.4311919822,179.673608772
474,"01LAJ",-10.4326797586,-179.825538979
475,"01LAK",-9.52796381718,179.678638739
476,"01LAK",-9.52934537639,-179.821885215
477,"01LAL",-8.6252292936,179.683190902
478,"01LAL",-8.62649665869,-179.818578499
479,"01LBC",-15.8606178661,-179.28886984
480,"01LBD",-14.9570823101,-179.278998592
481,"01LBE",-14.0540114023,-179.269776327
482,"01LBF",-13.1503253897,-179.261179717
483,"01LBG",-12.2465707337,-179.253203177
484,"01LBH",-11.3432941122,-179.245840539
485,"01LBJ",-10.4394156861,-179.239073431
486,"01LBK",-9.53548219265,-179.232897763
487,"01LBL",-8.63204054923,-179.227308836
488,"01LCC",-15.868476822,-178.355160865
489,"01LCD",-14.9644726869,-178.349312426
490,"01LCE",-14.0609372397,-178.343848535
491,"01LCF",-13.1567899045,-178.338755368
492,"01LCG",-12.2525771617,-178.334029603
493,"01LCH",-11.3488457109,-178.329667579
494,"01LCJ",-10.4445149212,-178.325658404
495,"01LCK",-9.54013156532,-178.321999649
496,"01LCL",-8.63624259372,-178.318688525
497,"01LDC",-15.8723083099,-177.421623215
498,"01LDD",-14.9680757154,-177.419803015
499,"01LDE",-14.0643137821,-177.418102505
500,"01LDF",-13.1599415292,-177.416517381
501,"01LDG",-12.2555054487,-177.415046606
502,"01LDH",-11.3515522511,-177.413689042
503,"01LDJ",-10.4470009181,-177.412441296
504,"01LDK",-9.54239823909,-177.411302612
505,"01LDL",-8.63829118009,-177.410272121
506,"01LEC",-15.8721119879,-176.487404206
507,"01LED",-14.967891099,-176.489617107
508,"01LEE",-14.0641407705,-176.491684497
509,"01LEF",-13.1597800424,-176.493611608
510,"01LEG",-12.2553554067,-176.495399698
511,"01LEH",-11.3514135712,-176.497050154
512,"01LEJ",-10.4468735381,-176.498567098
513,"01LEK",-9.54228209704,-176.499951451
514,"01LEL",-8.63818621302,-176.501204269
515,"01LFC",-15.8678846014,-175.553332426
516,"01LFD",-14.9639157763,-175.559575457
517,"01LFE",-14.060415337,-175.565407995
518,"01LFF",-13.1563027652,-175.570844803
519,"01LFG",-12.2521245428,-175.575889421
520,"01LFH",-11.3484273669,-175.580545759
521,"01LFJ",-10.4441306661,-175.584825442
522,"01LFK",-9.53978121103,-175.588731064
523,"01LFL",-8.63592594692,-175.5922656
524,"01LGC",-15.8596377553,-174.620235882
525,"01LGD",-14.9561606336,-174.630498251
526,"01LGE",-14.0531476583,-174.640085936
527,"01LGF",-13.1495191772,-174.649023181
528,"01LGG",-12.2458216496,-174.657315795
529,"01LGH",-11.3426017503,-174.664970188
530,"01LGJ",-10.4387797386,-174.672005458
531,"01LGK",-9.53490234936,-174.678425854
532,"01LGL",-8.63151649359,-174.684236263
533,"01LHC",-15.847372169,-173.687261725
534,"01LHD",-14.944626296,-173.701532092
535,"01LHE",-14.0423382759,-173.714864452
536,"01LHF",-13.1394297434,-173.727292487
537,"01LHG",-12.2364471247,-173.738824237
538,"01LHH",-11.3339370602,-173.749468588
539,"01LHJ",-10.4308210452,-173.759252068
540,"01LHK",-9.52764575755,-173.768180567
541,"01LHL",-8.62495805537,-173.776260852
542,"01MAM",-7.72190898851,179.687276472
543,"01MAM",-7.72305577071,-179.8156107
544,"01MAN",-6.81854911685,179.690897706
545,"01MAN",-6.81957038427,-179.812980189
546,"01MAP",-5.91569605903,179.694057366
547,"01MAP",-5.91658808127,-179.810684963
548,"01MAQ",-5.01227046581,179.696763173
549,"01MAQ",-5.01303025534,-179.808719419
550,"01MAR",-4.10881882553,179.699016445
551,"01MAR",-4.10944419339,-179.807082601
552,"01MAS",-3.20588773803,179.700819014
553,"01MAS",-3.20637715898,-179.80577318
554,"01MAT",-2.30239791523,179.702175265
555,"01MAT",-2.30275016439,-179.804787974
556,"01MAU",-1.39889602533,179.703085646
557,"01MAU",-1.39911034367,-179.804126655
558,"01MAV",-0.495928791381,179.703551127
559,"01MAV",-0.496004823664,-179.80378852
560,"01MBM",-7.72801084722,-179.222292854
561,"01MBN",-6.82394004979,-179.217847021
562,"01MBP",-5.92037525052,-179.213967923
563,"01MBQ",-5.01623649672,-179.210646057
564,"01MBR",-4.11207091344,-179.207879788
565,"01MBS",-3.20842571927,-179.205666849
566,"01MBT",-2.30422092645,-179.20400185
567,"01MBU",-1.40000376886,-179.202884227
568,"01MBV",-0.496321523519,-179.202312784
569,"01MCM",-7.7317673307,-178.315716851
570,"01MCN",-6.82725278529,-178.313082969
571,"01MCP",-5.92324609693,-178.31078485
572,"01MCQ",-5.01866656021,-178.308816862
573,"01MCR",-4.11406135505,-178.307178034
574,"01MCS",-3.20997774857,-178.305867019
575,"01MCT",-2.3053350174,-178.304880622
576,"01MCU",-1.40068044934,-178.304218509
577,"01MCV",-0.496561376306,-178.303879969
578,"01MDM",-7.73359869482,-177.409347276
579,"01MDN",-6.8288678112,-177.408527559
580,"01MDP",-5.92464569025,-177.407812341
581,"01MDQ",-5.01985126233,-177.407199867
582,"01MDR",-4.11503173253,-177.406689833
583,"01MDS",-3.21073439228,-177.406281823
584,"01MDT",-2.30587815575,-177.405974838
585,"01MDU",-1.40101034405,-177.405768777
586,"01MDV",-0.496678308857,-177.405663417
587,"01MEM",-7.73350485776,-176.502328648
588,"01MEN",-6.82878506008,-176.503325215
589,"01MEP",-5.92457397741,-176.504194741
590,"01MEQ",-5.01979055899,-176.504939356
591,"01MER",-4.11498201171,-176.505559429
592,"01MES",-3.21069562161,-176.506055468
593,"01MET",-2.30585032623,-176.506428684
594,"01MEU",-1.40099344039,-176.506679202
595,"01MEV",-0.496672317573,-176.506807293
596,"01MFM",-7.73148426009,-175.595437783
597,"01MFN",-6.82700315417,-175.598249384
598,"01MFP",-5.92302976411,-175.600702566
599,"01MFQ",-5.01848344296,-175.602803343
600,"01MFR",-4.11391136612,-175.604552752
601,"01MFS",-3.20986079624,-175.605952227
602,"01MFT",-2.30525106478,-175.607005181
603,"01MFU",-1.40062945868,-175.60771197
604,"01MFV",-0.496543301732,-175.608073353
605,"01MGM",-7.72754235799,-174.689451024
606,"01MGN",-6.82352690125,-174.694073044
607,"01MGP",-5.92001721332,-174.698105872
608,"01MGQ",-5.01593343148,-174.701559385
609,"01MGR",-4.11182267538,-174.704435284
